name,id,folderId
MPL_XXXX_All_MPE_All_All_All_All_Nurt_Split,4979,6746
MPL_XXXX_All_MPE_All_PRO_All_PRO_Nurt1,4986,6746
MPL_XXXX_All_MPE_All_TLA_All_TLA_Nurt1,4987,6746
MPL_XXXX_All_MPE_All_LAB_All_LAB_Nurt1,4988,6746
MPL_XXXX_All_MPE_All_PI_All_PI_Nurt1,4989,6746
MPL_XXXX_All_MPE_EPD_IND_All_IND_Nurt1,4990,6746


Missing: EMT_EMK_1405_CA(FR)_MPE_All_All_All_All_Welcome

EMT_EMK_1802_All_PPT_LAB_All_All_All_Welcome1
Missing: EMT_EMK_1802_All_PPT_IND/PRO/PI_All_All_All_Welcome1


